      112.800      142.400      835.551       3      69.9672      359.136
     -26.8514      11.4094      6.00295      0.00000      0.00000
      95     600      10.5506     -139.300      33.8000      77.1000
      111.700      143.500      765.510       3      69.9672      359.136
     -26.8418      11.4370      6.17332      0.00000      0.00000
      96     300      10.7006     -136.000      34.9000      78.8000
      110.100      145.200      666.499       3      69.9672      359.136
     -26.8275      12.8018      6.68725      0.00000      0.00000
      97     300      10.8061     -133.800      35.8000      80.0000
      109.000      146.300      601.709       3      69.9672      359.136
     -26.8176      12.8697      6.28566      0.00000      0.00000
      98     300      10.9022     -131.800      36.5000      81.0000
      107.900      147.200      546.282       3      69.9672      359.136
     -26.8087      13.8273      6.57448      0.00000      0.00000
     100     300      11.0172     -129.500      37.5000      82.2000
      106.700      148.200      484.467       3      69.9672      359.136
     -26.7982      13.8960      6.06678      0.00000      0.00000
     101     300      11.1197     -127.600      38.4000      83.3000
      105.600      149.100      433.528       3      69.9672      359.136
     -26.7889      15.0079      6.44278      0.00000      0.00000
     102     300      11.2197     -125.700      39.2000      84.4000
      104.500      149.900      387.607       3      69.9672      359.136
     -26.7799      15.2632      6.41988      0.00000      0.00000
     103     300      11.3172     -124.000      40.1000      85.4000
      103.400      150.600      346.410       3      69.9672      359.136
     -26.7713      15.6988      6.32379      0.00000      0.00000
       8     900     0.886667      130.200      31.0000     -86.8000
      101.700      143.100      268.928       3      17.2181      198.836
      35.9192      10.9737      6.79356      0.00000      0.00000
      10     600      1.00111      132.800      30.1000     -85.6000
      102.900      141.700      306.104       3      17.2181      198.836
      35.9294      11.1323      6.41823      0.00000      0.00000
      12     300      1.18472      94.5000      15.5000     -83.7000
      104.900      178.200      358.030       2      24.0337      178.715
      30.0997      10.2522      6.11496      0.00000      0.00000
      14     300      1.31833      96.4000      14.0000     -82.2000
      106.400      178.700      409.838       1      24.0337      178.715
      30.1098      9.91309      6.50978      0.00000      0.00000
      16     300      1.48500      87.1000      23.1000     -80.4000
      108.100      167.500      521.100       2      35.2642      181.447
      24.4089      10.1118      6.81145      0.00000      0.00000
      18     300      1.63778      88.5000      21.4000     -78.8000
      109.800      167.200      601.455       2      35.2642      181.447
      24.4202      9.71998      6.77783      0.00000      0.00000
      20     300      1.73556      89.4000      20.4000     -77.7000
      110.800      167.100      656.396       2      35.2642      181.447
      24.4275      9.51700      6.58188      0.00000      0.00000
      22     300      1.85139      90.6000      19.1000     -76.4000
      112.100      167.000      724.894       2      35.2642      181.447
      24.4363      9.44553      6.35325      0.00000      0.00000
      26     300      2.41917      60.8000      31.1000     -69.7000
      118.000      130.500      1232.82       3      53.4985      163.494
